assembly_session,vote_id,resolution,amendment,vote_date,significant_vote,yes_votes,no_votes,abstain,colonization,human_rights,israel_palestine,disarmament,nuclear_weapons,economic_development
1,13,R/1/434,1,2/1/1946,0,10,31,2,0,0,0,0,0,0
1,14,R/1/435,1,2/1/1946,0,7,30,5,0,0,0,0,0,0
1,15,R/1/435,1,2/1/1946,0,10,26,6,0,0,0,0,0,0
1,16,R/1/467,1,2/2/1946,0,7,34,7,0,0,0,0,0,0
3,104,R/3/663,0,11/1/1948,0,7,37,10,0,0,0,0,0,0
3,110,R/3/731,1,12/5/1948,0,14,32,12,0,0,0,0,0,0
3,113,R/3/754,1,12/6/1948,0,5,48,5,0,0,0,0,0,0
3,114,R/3/756,1,12/6/1948,0,30,21,7,0,0,0,0,0,0
3,115,R/3/757,0,12/6/1948,0,32,20,5,0,0,0,0,0,0
3,116,R/3/766,0,12/7/1948,0,11,31,9,1,0,0,0,0,0
3,118,R/3/847,1,12/1/1948,0,14,31,8,0,1,0,0,0,0
3,149,R/3/426,1,5/6/1949,0,33,6,13,0,0,0,0,0,0
3,150,R/3/455,0,5/7/1949,0,47,1,10,0,0,0,0,0,0
3,171,R/3/595,1,5/3/1949,0,14,37,7,1,0,0,0,0,0
3,173,R/3/608,0,5/4/1949,0,21,27,11,1,0,0,0,0,0
5,239,R/5/15,0,9/1/1950,0,16,33,10,0,0,0,0,0,0
5,258,R/5/525,1,12/4/1950,0,5,50,1,0,0,0,0,0,0
7,317,R/7/13,0,10/6/1952,0,25,27,8,0,0,0,0,0,0
7,318,R/7/67,0,10/2/1952,0,10,41,8,0,1,0,0,0,0
7,319,R/7/69,0,10/2/1952,0,45,6,8,0,1,0,0,0,0
7,345,R/7/425,1,12/7/1952,0,29,8,22,1,0,0,0,0,0
8,366,R/8/28,0,9/7/1953,0,46,7,7,0,1,0,0,0,0
9,392,R/9/11,0,9/6/1954,0,43,11,6,0,0,0,0,0,0
9,393,R/9/41,0,9/2/1954,0,50,6,4,0,1,0,0,0,0
9,396,R/9/60,0,9/2/1954,0,30,19,11,1,0,0,0,0,0
10,423,R/10/9,0,9/7/1955,0,42,12,6,0,0,0,0,0,0
10,436,R/10/404,0,12/7/1955,0,33,17,9,0,1,0,0,0,0
31,1652,R/31/4,0,10/4/1976,0,105,1,28,1,0,0,0,0,0
31,1663,R/31/20,0,11/5/1976,0,90,16,30,0,1,1,0,0,0
31,1665,R/31/44,0,12/1/1976,0,132,0,1,1,0,0,0,0,0
31,1667,R/31/62,0,12/1/1976,0,122,2,8,0,0,1,0,0,0
31,1670,R/31/9,0,11/3/1976,0,91,2,32,0,0,0,0,0,0
31,1673,R/31/70,0,12/2/1976,0,132,0,0,0,0,0,1,1,0
31,1674,R/31/71,0,12/2/1976,0,130,0,1,0,0,1,1,1,0
31,1676,R/31/73,0,12/2/1976,0,91,2,43,0,0,0,1,1,0
31,1677,R/31/74,0,12/2/1976,0,121,1,14,0,0,0,1,0,0
31,1678,R/31/75,0,12/2/1976,0,116,2,18,0,0,0,1,1,0
31,1680,R/31/88,0,12/6/1976,0,106,0,27,0,0,0,0,0,0
31,1681,R/31/89,0,12/6/1976,0,95,2,36,0,0,0,1,1,0
31,1682,R/31/91,0,12/6/1976,0,103,1,11,0,0,0,0,0,0
31,1693,R/31/14,0,11/7/1976,0,101,0,31,0,0,0,0,0,1
31,1702,R/31/33,0,11/4/1976,0,97,12,29,0,0,1,0,0,1
31,1705,R/31/78,0,12/5/1976,0,112,2,16,0,1,0,0,0,0
31,1706,R/31/80,0,12/5/1976,0,101,0,30,0,1,0,0,0,0
31,1707,R/31/84,0,12/5/1976,0,121,0,12,0,0,0,0,0,1
31,1710,R/31/7,0,11/7/1976,0,99,9,18,1,1,0,0,0,0
31,1711,R/31/29,0,11/3/1976,0,125,0,3,1,0,0,0,0,0
31,1712,R/31/30,0,11/3/1976,0,121,0,5,1,0,0,0,0,0
31,1713,R/31/49,0,12/7/1976,0,103,1,32,0,0,0,0,0,0
31,1714,R/31/50,0,12/7/1976,0,116,8,15,1,0,0,0,0,0
31,1715,R/31/53,0,12/7/1976,0,65,20,53,1,0,0,0,0,0
