countryA,countryB,similarity
MALAYSIA,SENEGAL,0.9276123759486281
SENEGAL,VENEZUELA (BOLIVARIAN REPUBLIC OF),0.8472938144329897
SENEGAL,UNITED KINGDOM,0.5135287485907554
RUSSIAN FEDERATION,SENEGAL,0.6843291995490417
JAPAN,SENEGAL,0.6273957158962796
ANGOLA,SENEGAL,0.8108581436077058
SENEGAL,URUGUAY,0.87880496054115
SENEGAL,SPAIN,0.5849387040280211
EGYPT,SENEGAL,0.8703494926719278
NEW ZEALAND,SENEGAL,0.6415645067133684
SENEGAL,UNITED STATES,0.2040586245772266
FRANCE,SENEGAL,0.5180383314543405
CHINA,SENEGAL,0.826944757609921
SENEGAL,UKRAINE,0.5992108229988726
NIGER,SENEGAL,0.780562347188264
SAINT VINCENT AND THE GRENADINES,SENEGAL,0.8600244498777506
ESTONIA,SENEGAL,0.5452322738386308
SENEGAL,SOUTH AFRICA,0.8856968215158925
SENEGAL,VIET NAM,0.8655256723716381
BELGIUM,SENEGAL,0.5562347188264058
GERMANY,SENEGAL,0.5519559902200489
SENEGAL,TUNISIA,0.9095354523227384
INDONESIA,SENEGAL,0.906479217603912
DOMINICAN REPUBLIC,SENEGAL,0.882640586797066
BRAZIL,SENEGAL,0.85880195599022
SENEGAL,UNITED REPUBLIC OF TANZANIA,0.8569682151589242
PHILIPPINES,SENEGAL,0.8936430317848411
ALGERIA,SENEGAL,0.8918092909535452
BENIN,SENEGAL,0.7744498777506112
DENMARK,SENEGAL,0.5568459657701712
ROMANIA,SENEGAL,0.5409535452322738
ARGENTINA,SENEGAL,0.8288508557457213
GREECE,SENEGAL,0.5715158924205379
AUSTRIA,SENEGAL,0.6069682151589242
SENEGAL,SWITZERLAND,0.6017156862745098
CYPRUS,SENEGAL,0.636919315403423
MOZAMBIQUE,SENEGAL,0.9009779951100244
SENEGAL,SUDAN,0.8759168704156479
FIJI,SENEGAL,0.7799511002444988
BULGARIA,SENEGAL,0.5531784841075794
CUBA,SENEGAL,0.8294621026894865
SENEGAL,UGANDA,0.7530562347188264
SENEGAL,ZAMBIA,0.8960880195599022
SENEGAL,SOUTH SUDAN,0.3208154506437768
MONACO,SENEGAL,0.5342298288508558
REPUBLIC OF KOREA,SENEGAL,0.5580684596577017
REPUBLIC OF MOLDOVA,SENEGAL,0.5725085910652921
SAN MARINO,SENEGAL,0.6051344743276283
SENEGAL,YEMEN,0.8942542787286064
ITALY,SENEGAL,0.576900412492634
BURUNDI,SENEGAL,0.7102689486552567
HUNGARY,SENEGAL,0.5330073349633252
CAMBODIA,SENEGAL,0.8808068459657702
MALAWI,SENEGAL,0.7481662591687042
NAURU,SENEGAL,0.33924205378973105
NICARAGUA,SENEGAL,0.8386308068459658
BRUNEI DARUSSALAM,SENEGAL,0.9150366748166259
POLAND,SENEGAL,0.543398533007335
SENEGAL,THAILAND,0.9101466992665037
MALDIVES,SENEGAL,0.9113691931540342
SENEGAL,SIERRA LEONE,0.7359413202933985
SENEGAL,TURKEY,0.6375305623471883
CABO VERDE,SENEGAL,0.8734177215189873
PAPUA NEW GUINEA,SENEGAL,0.687041564792176
MARSHALL ISLANDS,SENEGAL,0.3636919315403423
AZERBAIJAN,SENEGAL,0.8539119804400978
MADAGASCAR,SENEGAL,0.7231051344743277
CAMEROON,SENEGAL,0.6583129584352079
SAUDI ARABIA,SENEGAL,0.8808068459657702
IRAN (ISLAMIC REPUBLIC OF),SENEGAL,0.7952322738386308
NEPAL,SENEGAL,0.89119804400978
SAMOA,SENEGAL,0.7218826405867971
IRAQ,SENEGAL,0.7964547677261614
LIBYA,SENEGAL,0.881283422459893
BAHRAIN,SENEGAL,0.9101466992665037
GUINEA,SENEGAL,0.8380195599022005
EQUATORIAL GUINEA,SENEGAL,0.39486552567237165
KYRGYZSTAN,SENEGAL,0.8050122249388753
ERITREA,SENEGAL,0.8698044009779952
KUWAIT,SENEGAL,0.9083129584352079
ARMENIA,SENEGAL,0.6962102689486552
MAURITANIA,SENEGAL,0.878361858190709
SENEGAL,SINGAPORE,0.8966992665036675
CENTRAL AFRICAN REPUBLIC,SENEGAL,0.6155256723716381
PERU,SENEGAL,0.8581907090464548
LIECHTENSTEIN,SENEGAL,0.6033007334963325
NETHERLANDS,SENEGAL,0.5580684596577017
SENEGAL,SERBIA,0.6121530382595649
HAITI,SENEGAL,0.7072127139364304
IRELAND,SENEGAL,0.6069682151589242
KAZAKHSTAN,SENEGAL,0.8525943396226415
DJIBOUTI,SENEGAL,0.910757946210269
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,SENEGAL,0.7279951100244498
BOSNIA AND HERZEGOVINA,SENEGAL,0.5702933985330073
PAKISTAN,SENEGAL,0.8147921760391198
SENEGAL,SWEDEN,0.6075427224513847
SENEGAL,SOMALIA,0.565403422982885
SENEGAL,SLOVAKIA,0.5562347188264058
AUSTRALIA,SENEGAL,0.4443765281173594
KIRIBATI,SENEGAL,0.3374083129584352
QATAR,SENEGAL,0.9089242053789731
LITHUANIA,SENEGAL,0.5458435207823961
ICELAND,SENEGAL,0.5745721271393643
LUXEMBOURG,SENEGAL,0.5660146699266504
ETHIOPIA,SENEGAL,0.863877430760165
COMOROS,SENEGAL,0.7548899755501223
SENEGAL,SRI LANKA,0.9138141809290954
GUYANA,SENEGAL,0.9162591687041565
SENEGAL,TONGA,0.5513447432762836
SENEGAL,UZBEKISTAN,0.7047677261613692
SENEGAL,VANUATU,0.5623471882640587
LESOTHO,SENEGAL,0.8753056234718827
COLOMBIA,SENEGAL,0.8581907090464548
GUINEA-BISSAU,SENEGAL,0.7396088019559902
BOTSWANA,SENEGAL,0.8539119804400978
COSTA RICA,SENEGAL,0.8624694376528117
SENEGAL,TAJIKISTAN,0.7921760391198044
LIBERIA,SENEGAL,0.6240831295843521
COTE D'IVOIRE,SENEGAL,0.7830073349633252
GABON,SENEGAL,0.7035452322738386
INDIA,SENEGAL,0.7744498777506112
ECUADOR,SENEGAL,0.8930317848410758
ESWATINI,SENEGAL,0.5994962216624685
SENEGAL,SEYCHELLES,0.4669926650366748
SAINT KITTS AND NEVIS,SENEGAL,0.5470660146699267
SENEGAL,SOLOMON ISLANDS,0.7567237163814181
MAURITIUS,SENEGAL,0.8856968215158925
ANDORRA,SENEGAL,0.5837408312958435
SAO TOME AND PRINCIPE,SENEGAL,0.5183374083129584
BELARUS,SENEGAL,0.7830073349633252
PALAU,SENEGAL,0.32273838630806845
GEORGIA,SENEGAL,0.5336185819070904
MYANMAR,SENEGAL,0.7836185819070904
AFGHANISTAN,SENEGAL,0.847799511002445
CZECHIA,SENEGAL,0.5201401050788091
MEXICO,SENEGAL,0.8490220048899756
BANGLADESH,SENEGAL,0.9180929095354523
FINLAND,SENEGAL,0.5709046454767727
ISRAEL,SENEGAL,0.17053789731051344
HONDURAS,SENEGAL,0.7720048899755502
MALI,SENEGAL,0.8875305623471883
NORTH MACEDONIA,SENEGAL,0.5618374558303887
LEBANON,SENEGAL,0.8679706601466992
BARBADOS,SENEGAL,0.8838630806845966
BHUTAN,SENEGAL,0.8361858190709046
MOROCCO,SENEGAL,0.9113691931540342
MALTA,SENEGAL,0.6442542787286064
SENEGAL,SURINAME,0.8624694376528117
CANADA,SENEGAL,0.42053789731051344
SENEGAL,UNITED ARAB EMIRATES,0.910757946210269
CROATIA,SENEGAL,0.5513447432762836
KENYA,SENEGAL,0.8594132029339854
RWANDA,SENEGAL,0.5446210268948656
CONGO,SENEGAL,0.8105134474327629
GUATEMALA,SENEGAL,0.815403422982885
ANTIGUA AND BARBUDA,SENEGAL,0.8386308068459658
LATVIA,SENEGAL,0.543398533007335
SENEGAL,TOGO,0.8453545232273839
GRENADA,SENEGAL,0.7866748166259169
NAMIBIA,SENEGAL,0.8814180929095354
SENEGAL,SYRIAN ARAB REPUBLIC,0.7854523227383863
NORWAY,SENEGAL,0.5684596577017115
CHILE,SENEGAL,0.8801955990220048
DOMINICA,SENEGAL,0.5372860635696821
ALBANIA,SENEGAL,0.5317848410757946
SENEGAL,TRINIDAD AND TOBAGO,0.886919315403423
PANAMA,SENEGAL,0.8160146699266504
MONTENEGRO,SENEGAL,0.5663915978994749
NIGERIA,SENEGAL,0.8881418092909535
GHANA,SENEGAL,0.8398533007334963
OMAN,SENEGAL,0.8979217603911981
SENEGAL,SLOVENIA,0.565403422982885
BAHAMAS,SENEGAL,0.8679706601466992
JAMAICA,SENEGAL,0.9119804400977995
BOLIVIA (PLURINATIONAL STATE OF),SENEGAL,0.8638373121131742
SAINT LUCIA,SENEGAL,0.886919315403423
MONGOLIA,SENEGAL,0.8606356968215159
PORTUGAL,SENEGAL,0.5672371638141809
DEMOCRATIC REPUBLIC OF THE CONGO,SENEGAL,0.4743276283618582
EL SALVADOR,SENEGAL,0.8526894865525673
GAMBIA,SENEGAL,0.6858190709046454
SENEGAL,TURKMENISTAN,0.710880195599022
MICRONESIA (FEDERATED STATES OF),SENEGAL,0.28056234718826406
SENEGAL,TIMOR-LESTE,0.7775735294117647
BELIZE,SENEGAL,0.8863080684596577
CHAD,SENEGAL,0.5330073349633252
BURKINA FASO,SENEGAL,0.8710268948655256
LAO PEOPLE'S DEMOCRATIC REPUBLIC,SENEGAL,0.8691931540342298
SENEGAL,TUVALU,0.5599022004889975
JORDAN,SENEGAL,0.9168704156479217
PARAGUAY,SENEGAL,0.8245721271393643
SENEGAL,SERBIA AND MONTENEGRO,0.5707964601769911
BOLIVIA,SENEGAL,0.8678571428571429
SENEGAL,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,0.5587583148558758
CAPE VERDE,SENEGAL,0.8699763593380615
CZECH REPUBLIC,SENEGAL,0.5539906103286385
SENEGAL,VENEZUELA,0.906832298136646
SENEGAL,SWAZILAND,0.7062146892655368
LIBYAN ARAB JAMAHIRIYA,SENEGAL,0.891583452211127
MOLDOVA,SENEGAL,0.6222222222222222
MALAYSIA,VENEZUELA (BOLIVARIAN REPUBLIC OF),0.8756188118811881
MALAYSIA,UNITED KINGDOM,0.5149127743387732
MALAYSIA,RUSSIAN FEDERATION,0.69893078221722
JAPAN,MALAYSIA,0.6199649737302977
ANGOLA,MALAYSIA,0.8052898142937536
MALAYSIA,URUGUAY,0.8814944541739638
MALAYSIA,SPAIN,0.6010129431626337
EGYPT,MALAYSIA,0.9171044950379451
MALAYSIA,NEW ZEALAND,0.6606640405177265
MALAYSIA,UNITED STATES,0.20315137872819358
FRANCE,MALAYSIA,0.5227912211592571
CHINA,MALAYSIA,0.855374226223973
MALAYSIA,UKRAINE,0.5878575598365441
MALAYSIA,NIGER,0.7646699266503667
MALAYSIA,SAINT VINCENT AND THE GRENADINES,0.8581907090464548
ESTONIA,MALAYSIA,0.5458435207823961
MALAYSIA,SOUTH AFRICA,0.9052567237163814
MALAYSIA,VIET NAM,0.8893643031784841
BELGIUM,MALAYSIA,0.5550122249388753
GERMANY,MALAYSIA,0.5525672371638142
MALAYSIA,TUNISIA,0.9358190709046454
INDONESIA,MALAYSIA,0.9559902200488998
DOMINICAN REPUBLIC,MALAYSIA,0.8814180929095354
BRAZIL,MALAYSIA,0.8679706601466992
MALAYSIA,UNITED REPUBLIC OF TANZANIA,0.8563569682151589
MALAYSIA,PHILIPPINES,0.902200488997555
ALGERIA,MALAYSIA,0.9352078239608802
BENIN,MALAYSIA,0.7677261613691931
DENMARK,MALAYSIA,0.5568459657701712
MALAYSIA,ROMANIA,0.5415647921760391
ARGENTINA,MALAYSIA,0.83679706601467
GREECE,MALAYSIA,0.5702933985330073
AUSTRIA,MALAYSIA,0.6118581907090465
MALAYSIA,SWITZERLAND,0.6060049019607843
CYPRUS,MALAYSIA,0.6418092909535452
MALAYSIA,MOZAMBIQUE,0.8893643031784841
MALAYSIA,SUDAN,0.9119804400977995
FIJI,MALAYSIA,0.7701711491442543
BULGARIA,MALAYSIA,0.5525672371638142
CUBA,MALAYSIA,0.8685819070904646
MALAYSIA,UGANDA,0.7524449877750611
MALAYSIA,ZAMBIA,0.8832518337408313
MALAYSIA,SOUTH SUDAN,0.30150214592274677
MALAYSIA,MONACO,0.5354523227383863
MALAYSIA,REPUBLIC OF KOREA,0.5580684596577017
MALAYSIA,REPUBLIC OF MOLDOVA,0.5649484536082474
MALAYSIA,SAN MARINO,0.6063569682151589
MALAYSIA,YEMEN,0.9235941320293398
ITALY,MALAYSIA,0.5623471882640587
BURUNDI,MALAYSIA,0.6882640586797066
HUNGARY,MALAYSIA,0.5336185819070904
CAMBODIA,MALAYSIA,0.878361858190709
MALAWI,MALAYSIA,0.7200488997555012
MALAYSIA,NAURU,0.3184596577017115
MALAYSIA,NICARAGUA,0.8484107579462102
BRUNEI DARUSSALAM,MALAYSIA,0.9614914425427873
MALAYSIA,POLAND,0.5409535452322738
MALAYSIA,THAILAND,0.9205378973105135
MALAYSIA,MALDIVES,0.9327628361858191
MALAYSIA,SIERRA LEONE,0.7169926650366748
MALAYSIA,TURKEY,0.6503667481662592
CABO VERDE,MALAYSIA,0.8734177215189873
MALAYSIA,PAPUA NEW GUINEA,0.6778728606356969
MALAYSIA,MARSHALL ISLANDS,0.34902200488997553
AZERBAIJAN,MALAYSIA,0.8520782396088019
MADAGASCAR,MALAYSIA,0.7224938875305623
CAMEROON,MALAYSIA,0.6509779951100244
MALAYSIA,SAUDI ARABIA,0.9144254278728606
IRAN (ISLAMIC REPUBLIC OF),MALAYSIA,0.8288508557457213
MALAYSIA,NEPAL,0.8979217603911981
MALAYSIA,SAMOA,0.7084352078239609
IRAQ,MALAYSIA,0.8209046454767727
LIBYA,MALAYSIA,0.9229946524064171
BAHRAIN,MALAYSIA,0.941320293398533
GUINEA,MALAYSIA,0.843520782396088
EQUATORIAL GUINEA,MALAYSIA,0.37286063569682154
KYRGYZSTAN,MALAYSIA,0.8123471882640587
ERITREA,MALAYSIA,0.8618581907090465
KUWAIT,MALAYSIA,0.941320293398533
ARMENIA,MALAYSIA,0.7029339853300733
MALAYSIA,MAURITANIA,0.8924205378973105
MALAYSIA,SINGAPORE,0.9199266503667481
CENTRAL AFRICAN REPUBLIC,MALAYSIA,0.5886308068459658
MALAYSIA,PERU,0.863080684596577
LIECHTENSTEIN,MALAYSIA,0.6039119804400978
MALAYSIA,NETHERLANDS,0.5592909535452323
MALAYSIA,SERBIA,0.6189047261815454
HAITI,MALAYSIA,0.6803178484107579
IRELAND,MALAYSIA,0.6106356968215159
KAZAKHSTAN,MALAYSIA,0.8550458715596331
DJIBOUTI,MALAYSIA,0.926039119804401
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,MALAYSIA,0.7444987775061125
BOSNIA AND HERZEGOVINA,MALAYSIA,0.5721271393643031
MALAYSIA,PAKISTAN,0.85880195599022
MALAYSIA,SWEDEN,0.5941320293398533
MALAYSIA,SOMALIA,0.5482885085574573
MALAYSIA,SLOVAKIA,0.5537897310513448
AUSTRALIA,MALAYSIA,0.44682151589242053
KIRIBATI,MALAYSIA,0.3092909535452323
MALAYSIA,QATAR,0.9437652811735942
LITHUANIA,MALAYSIA,0.5635294117647058
ICELAND,MALAYSIA,0.5733496332518337
