countryA,countryB,similarity
MALAYSIA,SENEGAL,0.910031847133758
SENEGAL,VENEZUELABOLIVARIANREPUBLICOF,0.8472938144329897
SENEGAL,UNITEDKINGDOM,0.4314779270633397
RUSSIANFEDERATION,SENEGAL,0.6504032258064516
JAPAN,SENEGAL,0.5761627906976744
ANGOLA,SENEGAL,0.7588861218021281
SENEGAL,URUGUAY,0.8120622568093385
SENEGAL,SPAIN,0.6097800471327572
EGYPT,SENEGAL,0.8927029804727646
NEWZEALAND,SENEGAL,0.6075999212443395
SENEGAL,UNITEDSTATES,0.2267229794586293
FRANCE,SENEGAL,0.44060640951832664
CHINA,SENEGAL,0.7850700441374017
SENEGAL,UKRAINE,0.6922654964344487
NIGER,SENEGAL,0.8104758096761295
SAINTVINCENTANDTHEGRENADINES,SENEGAL,0.6652229299363057
ESTONIA,SENEGAL,0.5471854304635762
SENEGAL,SOUTHAFRICA,0.4224502112251056
SENEGAL,VIETNAM,0.8179691155825924
BELGIUM,SENEGAL,0.4907018596280744
GERMANY,SENEGAL,0.5475619504396483
SENEGAL,TUNISIA,0.9124350259896041
INDONESIA,SENEGAL,0.8920386007237636
DOMINICANREPUBLIC,SENEGAL,0.7435025989604158
BRAZIL,SENEGAL,0.8302371541501976
SENEGAL,UNITEDREPUBLICOFTANZANIA,0.8648868962706338
PHILIPPINES,SENEGAL,0.882047181127549
ALGERIA,SENEGAL,0.8752992817238627
BENIN,SENEGAL,0.824966078697422
DENMARK,SENEGAL,0.5620641562064156
ROMANIA,SENEGAL,0.6815273890443823
ARGENTINA,SENEGAL,0.7945041816009558
GREECE,SENEGAL,0.6473410635745702
AUSTRIA,SENEGAL,0.6161535385845661
SENEGAL,SWITZERLAND,0.6017156862745098
CYPRUS,SENEGAL,0.7810875649740104
MOZAMBIQUE,SENEGAL,0.8496393146979261
SENEGAL,SUDAN,0.8688524590163934
FIJI,SENEGAL,0.7771248688352571
BULGARIA,SENEGAL,0.6391443422630948
CUBA,SENEGAL,0.7868852459016393
SENEGAL,UGANDA,0.810159886662619
SENEGAL,ZAMBIA,0.8779352226720648
SENEGAL,SOUTHSUDAN,0.3208154506437768
MONACO,SENEGAL,0.5220653133274492
