assembly_session,vote_id,resolution,amendment,vote_date,significant_vote,yes_votes,no_votes,abstain,colonization,human_rights,israel_palestine,disarmament,nuclear_weapons,economic_development
1,3,R/1/66,1,1/1/1946,0,29,18,4,0,0,0,0,0,0
1,4,R/1/79,0,1/2/1946,0,9,34,8,0,0,0,0,0,0
1,5,R/1/98,0,1/4/1946,0,28,22,1,0,0,0,0,0,0
1,6,R/1/107,0,1/4/1946,0,12,27,10,0,1,0,0,0,0
1,7,R/1/295,1,1/2/1946,0,25,18,0,,,,,,
1,8,R/1/297,1,1/5/1946,0,38,1,2,0,0,0,0,0,1
1,9,R/1/329,0,2/5/1946,0,45,0,2,0,0,0,0,0,0
1,10,R/1/361,1,2/5/1946,0,46,2,0,0,0,0,0,0,0
1,11,R/1/376,0,2/5/1946,0,41,0,0,1,0,0,0,0,0
1,12,R/1/394,1,2/6/1946,0,21,22,3,0,0,0,0,0,0
1,13,R/1/434,1,2/1/1946,0,10,31,2,0,0,0,0,0,0
1,14,R/1/435,1,2/1/1946,0,7,30,5,0,0,0,0,0,0
1,15,R/1/435,1,2/1/1946,0,10,26,6,0,0,0,0,0,0
1,16,R/1/467,1,2/2/1946,0,7,34,7,0,0,0,0,0,0
1,17,R/1/467B,1,2/2/1946,0,27,19,2,0,0,0,0,0,0
1,18,R/1/532,1,2/3/1946,0,12,26,9,0,0,0,0,0,1
1,19,R/1/534,0,2/3/1946,0,32,6,11,0,0,0,0,0,1
1,20,R/1/1060,0,12/1/1946,0,29,24,1,0,0,0,0,0,0
1,21,R/1/1061A,1,12/1/1946,0,21,31,2,0,0,0,0,0,0
1,22,R/1/1061B,0,12/1/1946,0,32,15,7,0,0,0,0,0,0
1,23,R/1/1222,0,12/5/1946,0,34,6,13,0,0,0,0,0,0
1,24,R/1/1229,0,12/5/1946,0,36,4,9,0,0,0,0,0,1
1,25,R/1/1264,0,12/6/1946,0,36,6,9,0,0,0,0,0,0
1,26,R/1/1286,0,12/6/1946,0,6,34,11,1,0,0,0,0,0
1,27,R/1/1287/A,0,12/6/1946,0,41,6,5,1,0,0,0,0,0
1,28,R/1/1287/B,0,12/6/1946,0,41,6,5,1,0,0,0,0,0
1,29,R/1/1287C,0,12/6/1946,0,41,5,6,1,0,0,0,0,0
1,30,R/1/1288A,0,12/6/1946,0,41,5,6,1,0,1,0,0,0
1,31,R/1/1288B,0,12/6/1946,0,41,6,5,1,0,0,0,0,0
1,32,R/1/1288C,0,12/6/1946,0,41,6,5,1,0,0,0,0,0
1,33,R/1/1288D,0,12/6/1946,0,41,6,5,1,0,0,0,0,0
1,34,R/1/1288E,0,12/6/1946,0,41,6,5,1,0,1,0,0,0
1,35,R/1/1327,0,12/7/1946,0,37,0,9,1,0,0,0,0,0
1,36,R/1/1355,0,12/7/1946,0,25,24,4,1,0,0,0,0,0
1,37,R/1/1356,1,12/7/1946,0,23,14,17,1,0,0,0,0,0
1,38,R/1/1357,1,12/7/1946,0,31,1,21,1,0,0,0,0,0
1,39,R/1/1369,0,12/7/1946,0,28,15,7,1,0,0,0,0,0
1,40,R/1/1375,0,12/7/1946,0,46,7,0,0,0,0,0,0,0
1,41,R/1/1414A,1,12/1/1946,0,15,28,10,0,0,0,0,0,1
1,42,R/1/1414B,0,12/1/1946,0,25,22,6,0,0,0,0,0,1
1,43,R/1/1415,0,12/1/1946,0,34,11,8,0,0,0,0,0,1
1,44,R/1/1453,0,12/1/1946,0,30,5,18,0,0,0,0,0,0
1,45,R/1/1465,0,12/1/1946,0,14,35,4,0,0,0,0,0,0
2,46,R/2/299,0,9/4/1947,0,41,6,7,0,0,0,0,0,0
2,47,R/2/355,1,10/5/1947,0,21,23,11,0,1,0,0,0,0
2,48,R/2/461,0,10/6/1947,0,40,6,11,0,0,0,0,0,0
2,49,R/2/463,0,10/6/1947,0,7,34,16,0,0,0,0,0,0
2,50,R/2/465,0,10/6/1947,0,6,41,10,0,0,0,0,0,0
2,51,R/2/561,0,10/2/1947,0,13,23,17,1,0,0,0,0,0
2,52,R/2/650,0,11/6/1947,0,31,20,5,1,0,0,0,0,0
2,53,R/2/651,1,11/6/1947,0,36,9,11,1,0,0,0,0,0
2,54,R/2/651,1,11/6/1947,0,41,10,4,1,0,0,0,0,0
2,55,R/2/667,1,11/6/1947,0,24,24,1,1,0,0,0,0,0
2,56,R/2/719,1,11/1/1947,0,30,18,9,1,0,0,0,0,0
2,57,R/2/743,0,11/1/1947,0,29,22,5,1,0,0,0,0,0
2,58,R/2/744,1,11/1/1947,0,16,25,15,1,0,0,0,0,0
2,59,R/2/858,0,11/5/1947,0,7,34,16,1,0,0,0,0,0
2,60,R/2/940A,1,11/6/1947,0,16,27,11,0,0,0,0,0,0
2,61,R/2/940B,0,11/6/1947,0,32,17,5,0,0,0,0,0,0
2,62,R/2/1078A,0,11/1/1947,0,43,8,1,0,0,0,0,0,0
2,63,R/2/1078B,0,11/1/1947,0,40,9,3,0,0,0,0,0,0
2,64,R/2/1079A,0,11/1/1947,0,44,8,0,0,0,0,0,0,0
2,65,R/2/1079B,0,11/1/1947,0,43,8,1,0,0,0,0,0,0
2,66,R/2/1079C,0,11/1/1947,0,44,8,0,0,0,0,0,0,0
2,67,R/2/1080,0,11/1/1947,0,43,8,1,0,0,0,0,0,0
2,68,R/2/1095A,0,11/1/1947,0,37,5,11,0,0,0,0,0,0
2,69,R/2/1095B,0,11/1/1947,0,29,16,8,0,0,0,0,0,0
2,70,R/2/1096,0,11/1/1947,0,36,5,12,0,0,0,0,0,0
2,71,R/2/1169,0,11/4/1947,0,31,19,6,0,0,0,0,0,0
2,72,R/2/1170,0,11/4/1947,0,24,29,3,0,0,0,0,0,0
2,73,R/2/1214,0,11/4/1947,0,30,10,11,0,0,0,0,0,0
2,74,R/2/1305,1,11/5/1947,0,29,15,8,0,1,0,0,0,0
2,75,R/2/1306A,1,11/5/1947,0,34,15,2,0,1,0,0,0,0
2,76,R/2/1306B,1,11/5/1947,0,38,0,14,0,1,0,0,0,0
2,77,R/2/1424,0,11/6/1947,0,33,13,10,0,0,1,0,0,1
2,9001,SS/1/59,0,5/6/1947,0,15,24,9,,,,,,
2,9002,SS/1/114,1,5/6/1947,0,7,39,7,0,0,1,0,0,0
2,9003,SS/1/115,0,5/6/1947,0,43,7,3,0,0,1,0,0,0
2,9004,SS/1/175,0,5/2/1947,0,40,0,13,0,0,1,0,0,0
2,9005,SS/1/176A,0,5/2/1947,0,44,7,1,0,0,1,0,0,0
2,9006,SS/1/176B,0,5/2/1947,0,44,7,1,0,0,1,0,0,0
3,78,R/3/103,0,9/2/1948,0,16,29,10,0,0,0,0,0,0
3,79,R/3/108,0,9/2/1948,0,7,30,17,0,1,0,0,0,0
3,80,R/3/367,0,10/5/1948,0,6,30,13,0,0,0,0,0,0
3,81,R/3/393A,0,11/5/1948,0,41,6,2,1,0,0,0,0,0
3,82,R/3/393B,0,11/5/1948,0,44,7,0,1,0,0,0,0,0
3,83,R/3/393C,0,11/5/1948,0,44,0,7,1,0,0,0,0,0
3,84,R/3/394,0,11/5/1948,0,44,0,7,1,0,0,0,0,0
3,85,R/3/468,0,11/6/1948,0,6,40,5,0,0,0,0,1,0
3,86,R/3/469A,1,11/6/1948,0,9,15,26,0,0,0,0,1,0
3,87,R/3/469B,1,11/6/1948,0,5,31,15,0,0,0,0,1,0
3,88,R/3/489,0,11/6/1948,0,29,23,2,1,0,0,0,0,0
3,89,R/3/490A,0,11/6/1948,0,24,19,12,1,0,0,0,0,0
3,90,R/3/490B,0,11/6/1948,0,26,20,9,1,0,0,0,0,0
3,91,R/3/491A,0,11/6/1948,0,25,20,10,1,0,0,0,0,0
3,92,R/3/491B,0,11/6/1948,0,25,20,10,1,0,0,0,0,0
3,93,R/3/497,0,11/6/1948,0,30,11,12,0,0,0,0,0,0
3,94,R/3/564A,0,11/7/1948,0,6,38,6,0,0,0,1,1,0
3,95,R/3/564B,0,11/7/1948,0,6,30,14,0,0,0,1,1,0
3,96,R/3/565A,0,11/7/1948,0,7,31,14,0,0,0,1,0,0
3,97,R/3/565B,0,11/7/1948,0,9,24,19,0,0,0,1,0,0
3,98,R/3/566A,0,11/7/1948,0,6,42,5,0,0,0,1,0,0
3,99,R/3/566B,0,11/7/1948,0,6,36,10,0,0,0,1,0,0
3,100,R/3/566C,0,11/7/1948,0,6,37,9,0,0,0,1,1,0
3,101,R/3/567,0,11/7/1948,0,6,36,10,0,0,0,1,1,0
3,102,R/3/592,0,11/7/1948,0,32,14,5,1,0,0,0,0,0
3,103,R/3/609,0,11/7/1948,0,6,33,8,0,0,0,0,0,1
3,104,R/3/663,0,11/1/1948,0,7,37,10,0,0,0,0,0,0
3,105,R/3/701,0,12/3/1948,0,47,0,6,0,0,0,0,0,1
3,106,R/3/708,0,12/3/1948,0,30,19,5,0,0,0,0,0,0
3,107,R/3/709,0,12/3/1948,0,34,8,12,0,0,0,0,0,0
3,108,R/3/729,1,12/5/1948,0,8,38,12,0,0,0,0,0,0
